Κωδικός Λογαριασμού;Περιγραφή;Εγκεκριμένος;Αναμορφώσεις;Διαμορφωμένος (Δ.Π.);Δεσμευθέντα;Υπόλοιπο Δεσμευθέντων ως προς Δ.Π.;Τιμολογηθέντα;Υπόλοιπο Τιμολογηθέντων ως προς Δ.Π.;Ενταλθέντα;Υπόλοιπο Ενταλθέντων    ως προς Δ.Π.;Πληρωθέντα;Υπόλοιπο Πληρωθέντων    ως προς Δ.Π.;Υπόλοιπο (Ενταλθέντα - Πληρωθέντα);Διαθέσεις;Υπόλοιπο Τιμολογηθέντων ως προς Διαθέσεις;Υπόλοιπο Διαθέσεων ως προς Δ.Π.;Υπόλοιπο Διαθέσεων ως προς Δεσμεύσεις
02.01.153.0824.α;Σταυρού;0,00;1.000,00;1.000,00;167,50;832,50;0,00;1.000,00;0,00;1.000,00;0,00;1.000,00;0,00;0,00;0,00;1.000,00;167,50
02.01.153.0830;Υδρευση, ηλεκτρική ενέργεια καθαριότητα κλπ;0,00;5.000,00;5.000,00;1.337,03;3.662,97;0,00;5.000,00;0,00;5.000,00;0,00;5.000,00;0,00;0,00;0,00;5.000,00;1.337,03
02.01.153.0832;Ηλεκτρική ενέργεια;0,00;5.000,00;5.000,00;1.337,03;3.662,97;0,00;5.000,00;0,00;5.000,00;0,00;5.000,00;0,00;0,00;0,00;5.000,00;1.337,03
02.01.153.0832.α;Π.Ε Σταυρού;0,00;5.000,00;5.000,00;1.337,03;3.662,97;0,00;5.000,00;0,00;5.000,00;0,00;5.000,00;0,00;0,00;0,00;5.000,00;1.337,03
02.01.153.0840;Δημοσιεύσεις, εκδόσεις και λοιπές δαπάνες δημοσίων σχέσεων;0,00;600,00;600,00;0,00;600,00;0,00;600,00;0,00;600,00;0,00;600,00;0,00;0,00;0,00;600,00;0,00
02.01.153.0841;Διαφημίσεις και δημοσιεύσεις γενικά;0,00;600,00;600,00;0,00;600,00;0,00;600,00;0,00;600,00;0,00;600,00;0,00;0,00;0,00;600,00;0,00
02.01.153.0841.α;Σταυρού;0,00;600,00;600,00;0,00;600,00;0,00;600,00;0,00;600,00;0,00;600,00;0,00;0,00;0,00;600,00;0,00
02.01.153.0850;Αμοιβές για συντήρηση και επισκευή κτιρίων μόνιμων εγκαταστάσεων (ιδιοκτησίας του δημοσίου ή μισθωμένων);10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;0,00;0,00;10.000,00;0,00
02.01.153.0851;Αμοιβές για συντήρηση και επισκευή κτιρίων γενικά, εγκαταστάσεων στρατωνισμού, ελλιμενισμό, αερολιμένων και λοιπων μόνιμων εγκαταστάσεων);10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;0,00;0,00;10.000,00;0,00
02.01.153.0851.α;Σταυρού;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;0,00;0,00;10.000,00;0,00
02.01.153.0860;Αμοιβές για συντήρηση και επισκευή μηχανικού και λοιπού εξοπλισμού;15.000,00;10.400,00;25.400,00;0,00;25.400,00;0,00;25.400,00;0,00;25.400,00;0,00;25.400,00;0,00;0,00;0,00;25.400,00;0,00
02.01.153.0869;Αμοιβές για συντήρηση και επισκευή λοιπού εξοπλισμού;15.000,00;10.400,00;25.400,00;0,00;25.400,00;0,00;25.400,00;0,00;25.400,00;0,00;25.400,00;0,00;0,00;0,00;25.400,00;0,00
02.01.153.0869.α;Σταυρού;15.000,00;10.400,00;25.400,00;0,00;25.400,00;0,00;25.400,00;0,00;25.400,00;0,00;25.400,00;0,00;0,00;0,00;25.400,00;0,00
02.01.153.0870;Αμοιβές όσων εκτελούν ειδικές υπηρεσίες;0,00;10.000,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;0,00;0,00;10.000,00;0,00
02.01.153.0879;Λοιπές αμοιβές όσων εκτελούν ειδικές υπηρεσίες;0,00;10.000,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;0,00;0,00;10.000,00;0,00
02.01.153.0879.α; Λοιπές αμοιβές όσων εκτελούν ειδικές υπηρεσίες Σταυρού;0,00;10.000,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;0,00;0,00;10.000,00;0,00
02.01.153.1000;Προμήθειες αγαθών και κεφαλαιακού εξοπλισμού;82.354,67;134.700,00;217.054,67;0,00;217.054,67;0,00;217.054,67;0,00;217.054,67;0,00;217.054,67;0,00;0,00;0,00;217.054,67;0,00
02.01.153.1100;Προμήθεια ειδών εξοπλισμού υπηρεσιών, εργαστηρίων, κλπ.;0,00;6.000,00;6.000,00;0,00;6.000,00;0,00;6.000,00;0,00;6.000,00;0,00;6.000,00;0,00;0,00;0,00;6.000,00;0,00
02.01.153.1110;Προμήθεια ειδών γραφικής ύλης, υλικών εκτύπωσης και μικροεξοπλισμού;0,00;6.000,00;6.000,00;0,00;6.000,00;0,00;6.000,00;0,00;6.000,00;0,00;6.000,00;0,00;0,00;0,00;6.000,00;0,00
02.01.153.1111;Προμήθεια χαρτιού, γραφικών ειδών, κλπ, συναφών υλικών;0,00;6.000,00;6.000,00;0,00;6.000,00;0,00;6.000,00;0,00;6.000,00;0,00;6.000,00;0,00;0,00;0,00;6.000,00;0,00
02.01.153.1111.α;Σταυρού;0,00;6.000,00;6.000,00;0,00;6.000,00;0,00;6.000,00;0,00;6.000,00;0,00;6.000,00;0,00;0,00;0,00;6.000,00;0,00
02.01.153.1200;Προμήθεια υγειονομικού, φαρμακευτικού υλικού και ειδών καθαριότητας και ευπρεπισμού;0,00;11.000,00;11.000,00;0,00;11.000,00;0,00;11.000,00;0,00;11.000,00;0,00;11.000,00;0,00;0,00;0,00;11.000,00;0,00
02.01.153.1210;Προμήθεια υγειονομικών, φαρμακευτικών και ορθοπεδικών ειδών;0,00;3.000,00;3.000,00;0,00;3.000,00;0,00;3.000,00;0,00;3.000,00;0,00;3.000,00;0,00;0,00;0,00;3.000,00;0,00
02.01.153.1211;Προμήθεια υγειονομικού και φαρμακευτικού υλικού;0,00;3.000,00;3.000,00;0,00;3.000,00;0,00;3.000,00;0,00;3.000,00;0,00;3.000,00;0,00;0,00;0,00;3.000,00;0,00
02.01.153.1211.α;Σταυρού;0,00;3.000,00;3.000,00;0,00;3.000,00;0,00;3.000,00;0,00;3.000,00;0,00;3.000,00;0,00;0,00;0,00;3.000,00;0,00
02.01.153.1230;Προμήθεια ειδών καθαριότητας;0,00;8.000,00;8.000,00;0,00;8.000,00;0,00;8.000,00;0,00;8.000,00;0,00;8.000,00;0,00;0,00;0,00;8.000,00;0,00
02.01.153.1231;Προμήθεια ειδών καθαριότητας;0,00;8.000,00;8.000,00;0,00;8.000,00;0,00;8.000,00;0,00;8.000,00;0,00;8.000,00;0,00;0,00;0,00;8.000,00;0,00
02.01.153.1231.α;Σταυρού;0,00;8.000,00;8.000,00;0,00;8.000,00;0,00;8.000,00;0,00;8.000,00;0,00;8.000,00;0,00;0,00;0,00;8.000,00;0,00
02.01.153.1300;Προμήθεια ειδών συντήρησης και επισκευής εγκαταστάσεων και εξοπλισμού;35.000,00;10.000,00;45.000,00;0,00;45.000,00;0,00;45.000,00;0,00;45.000,00;0,00;45.000,00;0,00;0,00;0,00;45.000,00;0,00
02.01.153.1310;Προμήθεια ειδών συντήρησης και επισκευής εγκαταστάσεων;15.000,00;10.000,00;25.000,00;0,00;25.000,00;0,00;25.000,00;0,00;25.000,00;0,00;25.000,00;0,00;0,00;0,00;25.000,00;0,00
02.01.153.1311;Προμήθεια ειδών συντήρησης και επισκευής εγκαταστάσεων;15.000,00;10.000,00;25.000,00;0,00;25.000,00;0,00;25.000,00;0,00;25.000,00;0,00;25.000,00;0,00;0,00;0,00;25.000,00;0,00
02.01.153.1311.α;Σταυρού;15.000,00;10.000,00;25.000,00;0,00;25.000,00;0,00;25.000,00;0,00;25.000,00;0,00;25.000,00;0,00;0,00;0,00;25.000,00;0,00
02.01.153.1320;Προμήθεια ειδών συντήρησης και επισκευής  εξοπλισμού;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;0,00;0,00;20.000,00;0,00
02.01.153.1329;Προμήθεια ειδών συντήρησης και επισκευής κάθε είδους λοιπού εξοπλισμού;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;0,00;0,00;20.000,00;0,00
02.01.153.1329.α;Σταυρού;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;0,00;0,00;20.000,00;0,00
02.01.153.1400;Προμήθεια ειδών διατροφης, ιματισμού, υπόδησης,εξάρτησης, ειδών εστίασης και κατασκηνωτικού υλικού;22.354,67;95.000,00;117.354,67;0,00;117.354,67;0,00;117.354,67;0,00;117.354,67;0,00;117.354,67;0,00;0,00;0,00;117.354,67;0,00
02.01.153.1410;Προμήθεια ειδών διατροφής και συναφών ειδών;7.354,67;90.000,00;97.354,67;0,00;97.354,67;0,00;97.354,67;0,00;97.354,67;0,00;97.354,67;0,00;0,00;0,00;97.354,67;0,00
02.01.153.1411;Προμήθεια τροφίμων, ποτών, και καπνού;7.354,67;90.000,00;97.354,67;0,00;97.354,67;0,00;97.354,67;0,00;97.354,67;0,00;97.354,67;0,00;0,00;0,00;97.354,67;0,00
02.01.153.1411.α;Σταυρού;7.354,67;90.000,00;97.354,67;0,00;97.354,67;0,00;97.354,67;0,00;97.354,67;0,00;97.354,67;0,00;0,00;0,00;97.354,67;0,00
02.01.153.1430;Προμήθεια ειδών εστίασης , άθλησης και ψυχαγωγίας;15.000,00;5.000,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;0,00;0,00;20.000,00;0,00
02.01.153.1431;Προμήθεια ειδών εστίασης και κατασκήνωσης;15.000,00;5.000,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;0,00;0,00;20.000,00;0,00
02.01.153.1431.α;Σταυρού;15.000,00;5.000,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;0,00;0,00;20.000,00;0,00
02.01.153.1500;Καύσιμα και λιπαντικά;0,00;7.600,00;7.600,00;0,00;7.600,00;0,00;7.600,00;0,00;7.600,00;0,00;7.600,00;0,00;0,00;0,00;7.600,00;0,00
02.01.153.1510;Προμήθεια καυσίμων και λιπαντικών;0,00;7.600,00;7.600,00;0,00;7.600,00;0,00;7.600,00;0,00;7.600,00;0,00;7.600,00;0,00;0,00;0,00;7.600,00;0,00
02.01.153.1512;Προμήθεια καύσιμων θέρμανσης και δαπάνες κοινοχρήστων;0,00;7.600,00;7.600,00;0,00;7.600,00;0,00;7.600,00;0,00;7.600,00;0,00;7.600,00;0,00;0,00;0,00;7.600,00;0,00
02.01.153.1512.α;Σταυρού;0,00;7.600,00;7.600,00;0,00;7.600,00;0,00;7.600,00;0,00;7.600,00;0,00;7.600,00;0,00;0,00;0,00;7.600,00;0,00
02.01.153.1600;Διάφορες Προμήθειες;25.000,00;3.000,00;28.000,00;0,00;28.000,00;0,00;28.000,00;0,00;28.000,00;0,00;28.000,00;0,00;0,00;0,00;28.000,00;0,00
02.01.153.1690;Προμήθειες λοιπών υλικών;25.000,00;3.000,00;28.000,00;0,00;28.000,00;0,00;28.000,00;0,00;28.000,00;0,00;28.000,00;0,00;0,00;0,00;28.000,00;0,00
02.01.153.1699;Λοιπές προμήθειες;25.000,00;3.000,00;28.000,00;0,00;28.000,00;0,00;28.000,00;0,00;28.000,00;0,00;28.000,00;0,00;0,00;0,00;28.000,00;0,00
02.01.153.1699.α;Σταυρού;25.000,00;3.000,00;28.000,00;0,00;28.000,00;0,00;28.000,00;0,00;28.000,00;0,00;28.000,00;0,00;0,00;0,00;28.000,00;0,00
02.01.153.1700;Προμήθεια κεφαλαιακού εξοπλισμού;0,00;2.100,00;2.100,00;0,00;2.100,00;0,00;2.100,00;0,00;2.100,00;0,00;2.100,00;0,00;0,00;0,00;2.100,00;0,00
02.01.153.1710;Προμήθεια ειδών εξοπλισμού γραφείων, εργαστηρίων κλπ;0,00;2.100,00;2.100,00;0,00;2.100,00;0,00;2.100,00;0,00;2.100,00;0,00;2.100,00;0,00;0,00;0,00;2.100,00;0,00
02.01.153.1711;Προμήθεια επίπλων;0,00;2.100,00;2.100,00;0,00;2.100,00;0,00;2.100,00;0,00;2.100,00;0,00;2.100,00;0,00;0,00;0,00;2.100,00;0,00
02.01.153.1711.α;Προμήθεια επίπλων;0,00;2.100,00;2.100,00;0,00;2.100,00;0,00;2.100,00;0,00;2.100,00;0,00;2.100,00;0,00;0,00;0,00;2.100,00;0,00
02.01.191;ΥΠΗΡΕΣΙΕΣ ΠΡΩΤΟΒΑΘΜΙΑΣ ΕΚΠΑΙΔΕΥΣΗΣ;6.024.898,30;2.250.000,00;8.274.898,30;2.305.553,65;5.969.344,65;2.305.084,09;5.969.814,21;2.295.670,61;5.979.227,69;2.295.670,61;5.979.227,69;0,00;0,00;-2.305.084,09;8.274.898,30;2.305.553,65
02.01.191.0000;Πληρωμές για Υπηρεσίες;6.024.898,30;2.250.000,00;8.274.898,30;2.305.553,65;5.969.344,65;2.305.084,09;5.969.814,21;2.295.670,61;5.979.227,69;2.295.670,61;5.979.227,69;0,00;0,00;-2.305.084,09;8.274.898,30;2.305.553,65
02.01.191.0500;Πρόσθετες & παραπόμενες παροχές;24.898,30;0,00;24.898,30;3.823,48;21.074,82;3.823,48;21.074,82;3.823,48;21.074,82;3.823,48;21.074,82;0,00;0,00;-3.823,48;24.898,30;3.823,48
02.01.191.0510;Πρόσθετες παροχές (περιλαμβάνονται και οι ασφαλιστικές εισφορές);24.898,30;0,00;24.898,30;3.823,48;21.074,82;3.823,48;21.074,82;3.823,48;21.074,82;3.823,48;21.074,82;0,00;0,00;-3.823,48;24.898,30;3.823,48
02.01.191.0517;Αμοιβές ωρομίσθιων εκπαιδευτικών και λοιπών προσώπων για την προσφορά διδακτικού έργου;24.898,30;0,00;24.898,30;3.823,48;21.074,82;3.823,48;21.074,82;3.823,48;21.074,82;3.823,48;21.074,82;0,00;0,00;-3.823,48;24.898,30;3.823,48
02.01.191.0800;Πληρωμές για λοιπές υπηρεσίες;6.000.000,00;2.250.000,00;8.250.000,00;2.301.730,17;5.948.269,83;2.301.260,61;5.948.739,39;2.291.847,13;5.958.152,87;2.291.847,13;5.958.152,87;0,00;0,00;-2.301.260,61;8.250.000,00;2.301.730,17
02.01.191.0820;Μεταφορές, επικοινωνίες;6.000.000,00;2.250.000,00;8.250.000,00;2.301.730,17;5.948.269,83;2.301.260,61;5.948.739,39;2.291.847,13;5.958.152,87;2.291.847,13;5.958.152,87;0,00;0,00;-2.301.260,61;8.250.000,00;2.301.730,17
02.01.191.0821;Μεταφορά μαθητών;6.000.000,00;2.250.000,00;8.250.000,00;2.301.730,17;5.948.269,83;2.301.260,61;5.948.739,39;2.291.847,13;5.958.152,87;2.291.847,13;5.958.152,87;0,00;0,00;-2.301.260,61;8.250.000,00;2.301.730,17
02.01.192;ΥΠΗΡΕΣΙΕΣ ΔΕΥΤΕΡΟΒΑΘΜΙΑΣ ΕΚΠΑΙΔΕΥΣΗΣ;6.000.000,00;2.250.000,00;8.250.000,00;3.457.346,78;4.792.653,22;3.459.168,38;4.790.831,62;3.455.430,86;4.794.569,14;3.455.430,86;4.794.569,14;0,00;0,00;-3.459.168,38;8.250.000,00;3.457.346,78
02.01.192.0000;Πληρωμές για Υπηρεσίες;6.000.000,00;2.250.000,00;8.250.000,00;3.457.346,78;4.792.653,22;3.459.168,38;4.790.831,62;3.455.430,86;4.794.569,14;3.455.430,86;4.794.569,14;0,00;0,00;-3.459.168,38;8.250.000,00;3.457.346,78
02.01.192.0800;Πληρωμές για λοιπές υπηρεσίες;6.000.000,00;2.250.000,00;8.250.000,00;3.457.346,78;4.792.653,22;3.459.168,38;4.790.831,62;3.455.430,86;4.794.569,14;3.455.430,86;4.794.569,14;0,00;0,00;-3.459.168,38;8.250.000,00;3.457.346,78
02.01.192.0820;Μεταφορές, επικοινωνίες;6.000.000,00;2.250.000,00;8.250.000,00;3.457.346,78;4.792.653,22;3.459.168,38;4.790.831,62;3.455.430,86;4.794.569,14;3.455.430,86;4.794.569,14;0,00;0,00;-3.459.168,38;8.250.000,00;3.457.346,78
02.01.192.0821;Μεταφορά μαθητών;6.000.000,00;2.250.000,00;8.250.000,00;3.457.346,78;4.792.653,22;3.459.168,38;4.790.831,62;3.455.430,86;4.794.569,14;3.455.430,86;4.794.569,14;0,00;0,00;-3.459.168,38;8.250.000,00;3.457.346,78
02.01.291;ΥΠΗΡΕΣΙΕΣ ΓΕΩΡΓΙΑΣ;84.200,00;116.450,88;200.650,88;21.097,85;179.553,03;20.088,07;180.562,81;21.002,27;179.648,61;20.002,27;180.648,61;1.000,00;0,00;-20.088,07;200.650,88;21.097,85
02.01.291.0000;Πληρωμές για Υπηρεσίες;32.500,00;33.679,37;66.179,37;0,00;66.179,37;0,00;66.179,37;0,00;66.179,37;0,00;66.179,37;0,00;0,00;0,00;66.179,37;0,00
02.01.291.0300;Αμοιβές υπαλλήλων με σχέση εργασίας Ι.Δ. ορισμένου χρόνου και ειδικών κατηγοριών;0,00;13.000,00;13.000,00;0,00;13.000,00;0,00;13.000,00;0,00;13.000,00;0,00;13.000,00;0,00;0,00;0,00;13.000,00;0,00
02.01.291.0340;Αποδοχές εργατοτεχνικού, εποχιακού και λοιπού προσωπικού;0,00;10.000,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;0,00;0,00;10.000,00;0,00
02.01.291.0342;Αμοιβές προσωπικού με σχέση εργασίας ιδιωτικού δικαίου ορισμένου χρόνου γενικά;0,00;10.000,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;0,00;0,00;10.000,00;0,00
02.01.291.0350;Εισφορές στην κοινωνική ασφάλιση;0,00;3.000,00;3.000,00;0,00;3.000,00;0,00;3.000,00;0,00;3.000,00;0,00;3.000,00;0,00;0,00;0,00;3.000,00;0,00
02.01.291.0352;Εισφορές σε ασφαλιστικούς οργανισμούς προσωπικού με σχέση εργασίας ιδιωτικού δικαίου ορισμένου χρόνου γενικά;0,00;3.000,00;3.000,00;0,00;3.000,00;0,00;3.000,00;0,00;3.000,00;0,00;3.000,00;0,00;0,00;0,00;3.000,00;0,00
02.01.291.0700;Πληρωμές για μετακινήσεις;32.500,00;20.679,37;53.179,37;0,00;53.179,37;0,00;53.179,37;0,00;53.179,37;0,00;53.179,37;0,00;0,00;0,00;53.179,37;0,00
02.01.291.0710;Πληρωμές για μετακινήσεις;32.500,00;20.679,37;53.179,37;0,00;53.179,37;0,00;53.179,37;0,00;53.179,37;0,00;53.179,37;0,00;0,00;0,00;53.179,37;0,00
02.01.291.0711;Έξοδα μετακίνησης στο εσωτερικό μόνιμου προσωπικού (τακτικοί - Ι.Δ.Α.Χ.);32.500,00;20.679,37;53.179,37;0,00;53.179,37;0,00;53.179,37;0,00;53.179,37;0,00;53.179,37;0,00;0,00;0,00;53.179,37;0,00
02.01.291.5000;Δαπάνες που δεν εντάσσονται σε άλλες κατηγορίες;51.700,00;82.771,51;134.471,51;21.097,85;113.373,66;20.088,07;114.383,44;21.002,27;113.469,24;20.002,27;114.469,24;1.000,00;0,00;-20.088,07;134.471,51;21.097,85
02.01.291.5200;Διάφορες σύνθετες δαπάνες;46.700,00;75.392,07;122.092,07;19.610,27;102.481,80;18.600,49;103.491,58;19.514,69;102.577,38;18.514,69;103.577,38;1.000,00;0,00;-18.600,49;122.092,07;19.610,27
02.01.291.5240;Δαπάνες αγροτικών δραστηριοτήτων και δασοπροστασίας;46.700,00;75.392,07;122.092,07;19.610,27;102.481,80;18.600,49;103.491,58;19.514,69;102.577,38;18.514,69;103.577,38;1.000,00;0,00;-18.600,49;122.092,07;19.610,27
02.01.291.5244;Δαπάνες γεωργίας, κτηνοτροφίας κλπ που δεν προβλέπονται σε άλλους κωδικούς αριθμούς εξόδων;46.700,00;75.392,07;122.092,07;19.610,27;102.481,80;18.600,49;103.491,58;19.514,69;102.577,38;18.514,69;103.577,38;1.000,00;0,00;-18.600,49;122.092,07;19.610,27
02.01.291.5244.α;Αγροτοπεριβαντολογικά;16.000,00;16.088,87;32.088,87;11.376,67;20.712,20;11.366,89;20.721,98;11.366,89;20.721,98;11.366,89;20.721,98;0,00;0,00;-11.366,89;32.088,87;11.376,67
02.01.291.5244.α.1;Αγροτοπεριβαντολογικά-Οδοιπορικά;15.000,00;15.004,05;30.004,05;11.376,67;18.627,38;11.366,89;18.637,16;11.366,89;18.637,16;11.366,89;18.637,16;0,00;0,00;-11.366,89;30.004,05;11.376,67
02.01.291.5244.α.3;Αγροτοπεριβαντολογικά-Λοιπές Προμήθειες;1.000,00;1.084,82;2.084,82;0,00;2.084,82;0,00;2.084,82;0,00;2.084,82;0,00;2.084,82;0,00;0,00;0,00;2.084,82;0,00
02.01.291.5244.β;Έρευνα γάλακτος;0,00;4,42;4,42;0,00;4,42;0,00;4,42;0,00;4,42;0,00;4,42;0,00;0,00;0,00;4,42;0,00
02.01.291.5244.β.1;Ερευνα Γάλακτος-Οδοιπορικά;0,00;4,42;4,42;0,00;4,42;0,00;4,42;0,00;4,42;0,00;4,42;0,00;0,00;0,00;4,42;0,00
02.01.291.5244.δ;Πρόγραμμα Ο.Σ.Δ.Ε.;0,00;99,98;99,98;0,00;99,98;0,00;99,98;0,00;99,98;0,00;99,98;0,00;0,00;0,00;99,98;0,00
02.01.291.5244.δ.1;Πρόγραμμα Ο.Σ.Δ.Ε.-Οδοιπορικά;0,00;99,98;99,98;0,00;99,98;0,00;99,98;0,00;99,98;0,00;99,98;0,00;0,00;0,00;99,98;0,00
02.01.291.5244.ε;Τηλεπισκόπιση-Γεωργικές Στατιστικές;0,00;36,93;36,93;0,00;36,93;0,00;36,93;0,00;36,93;0,00;36,93;0,00;0,00;0,00;36,93;0,00
02.01.291.5244.ε.1;Τηλεπισκόπιση-Οδοιπορικά;0,00;36,93;36,93;0,00;36,93;0,00;36,93;0,00;36,93;0,00;36,93;0,00;0,00;0,00;36,93;0,00
02.01.291.5244.ζ;Πρόγραμμα RICA;0,00;31.804,77;31.804,77;2.495,87;29.308,90;2.495,87;29.308,90;2.495,87;29.308,90;2.495,87;29.308,90;0,00;0,00;-2.495,87;31.804,77;2.495,87
02.01.291.5244.ζ.1;Πρόγραμμα RICA-Οδοιπορικά;0,00;31.804,77;31.804,77;2.495,87;29.308,90;2.495,87;29.308,90;2.495,87;29.308,90;2.495,87;29.308,90;0,00;0,00;-2.495,87;31.804,77;2.495,87
02.01.291.5244.η;Ποιοτικός έλεγχος;19.000,00;9.325,85;28.325,85;4.263,43;24.062,42;4.263,43;24.062,42;4.263,43;24.062,42;4.263,43;24.062,42;0,00;0,00;-4.263,43;28.325,85;4.263,43
02.01.291.5244.η.1;Ποιοτικός έλεγχος-Οδοιπορικά;4.000,00;2.232,28;6.232,28;0,00;6.232,28;0,00;6.232,28;0,00;6.232,28;0,00;6.232,28;0,00;0,00;0,00;6.232,28;0,00
02.01.291.5244.η.2;Ποιοτικός έλεγχος-Υπερωρίες;15.000,00;6.928,89;21.928,89;4.263,43;17.665,46;4.263,43;17.665,46;4.263,43;17.665,46;4.263,43;17.665,46;0,00;0,00;-4.263,43;21.928,89;4.263,43
02.01.291.5244.η.3;Ποιοτικός έλεγχος-Λοιπές δαπάνες;0,00;164,68;164,68;0,00;164,68;0,00;164,68;0,00;164,68;0,00;164,68;0,00;0,00;0,00;164,68;0,00
02.01.291.5244.θ;Φυτοπροστασία - Απεντομώσεις;2.000,00;8.953,36;10.953,36;1.474,30;9.479,06;474,30;10.479,06;1.388,50;9.564,86;388,50;10.564,86;1.000,00;0,00;-474,30;10.953,36;1.474,30
02.01.291.5244.θ.1;Φυτοπροστασία , Απεντομώσεις-Οδοιπορικά;2.000,00;6.300,67;8.300,67;0,00;8.300,67;0,00;8.300,67;0,00;8.300,67;0,00;8.300,67;0,00;0,00;0,00;8.300,67;0,00
02.01.291.5244.θ.2;Φυτοπροστασία , Απεντομώσεις-Υπερωρίες;0,00;12,50;12,50;0,00;12,50;0,00;12,50;0,00;12,50;0,00;12,50;0,00;0,00;0,00;12,50;0,00
02.01.291.5244.θ.3;Φυτοπροστασία,  Απεντομώσεις-Λοιπές δαπάνες;0,00;2.640,19;2.640,19;1.474,30;1.165,89;474,30;2.165,89;1.388,50;1.251,69;388,50;2.251,69;1.000,00;0,00;-474,30;2.640,19;1.474,30
02.01.291.5244.ιβ;Πρόγραμμα κυκλοφορίας ζωοτροφών;9.000,00;8.363,03;17.363,03;0,00;17.363,03;0,00;17.363,03;0,00;17.363,03;0,00;17.363,03;0,00;0,00;0,00;17.363,03;0,00
02.01.291.5244.ιβ.1;Πρόγραμμα κυκλοφορίας ζωοτρόφων-Οδοιπορικά;9.000,00;5.863,03;14.863,03;0,00;14.863,03;0,00;14.863,03;0,00;14.863,03;0,00;14.863,03;0,00;0,00;0,00;14.863,03;0,00
02.01.291.5244.ιβ.2;Πρόγραμμα κυκλοφορίας ζωοτροφών-Υπερωρίες;0,00;2.500,00;2.500,00;0,00;2.500,00;0,00;2.500,00;0,00;2.500,00;0,00;2.500,00;0,00;0,00;0,00;2.500,00;0,00
02.01.291.5244.ιγ;Πρόγραμμα Μελισσοκομίας;700,00;714,86;1.414,86;0,00;1.414,86;0,00;1.414,86;0,00;1.414,86;0,00;1.414,86;0,00;0,00;0,00;1.414,86;0,00
02.01.291.5300;Προγρ'αμματα χρηματοδοτούμενα απο την Ε.Ε.;5.000,00;7.379,44;12.379,44;1.487,58;10.891,86;1.487,58;10.891,86;1.487,58;10.891,86;1.487,58;10.891,86;0,00;0,00;-1.487,58;12.379,44;1.487,58
02.01.291.5320;Δαπάνες γεωργικού προσανατολισμού και ειδικών γεωργικών ενεργειών;5.000,00;7.379,44;12.379,44;1.487,58;10.891,86;1.487,58;10.891,86;1.487,58;10.891,86;1.487,58;10.891,86;0,00;0,00;-1.487,58;12.379,44;1.487,58
02.01.291.5329;Λοιπες γεωργικές δαπάνες;5.000,00;7.379,44;12.379,44;1.487,58;10.891,86;1.487,58;10.891,86;1.487,58;10.891,86;1.487,58;10.891,86;0,00;0,00;-1.487,58;12.379,44;1.487,58
02.01.291.5329.β;Λοιπες γεωργικές δαπάνες;5.000,00;7.379,44;12.379,44;1.487,58;10.891,86;1.487,58;10.891,86;1.487,58;10.891,86;1.487,58;10.891,86;0,00;0,00;-1.487,58;12.379,44;1.487,58
02.01.291.5329.β.1;Λοιπες γεωργικές δαπάνες -Οδοιπορικά;4.000,00;5.554,54;9.554,54;1.487,58;8.066,96;1.487,58;8.066,96;1.487,58;8.066,96;1.487,58;8.066,96;0,00;0,00;-1.487,58;9.554,54;1.487,58
02.01.291.5329.β.3;Λοιπες γεωργικές δαπάνες - Λοιπές δαπάνες;1.000,00;1.824,90;2.824,90;0,00;2.824,90;0,00;2.824,90;0,00;2.824,90;0,00;2.824,90;0,00;0,00;0,00;2.824,90;0,00
